"pValue","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0.0509601124201304,8,2,4,1,3,7,5,9,11,6,10,12
0.0509601124201304,8,2,4,1,3,7,5,9,11,6,12,10
0.0509601124201304,8,2,4,1,3,7,5,9,11,10,6,12
0.0509601124201304,8,2,4,1,3,7,5,9,11,10,12,6
0.0509601124201304,8,2,4,1,3,7,5,9,11,12,6,10
0.0509601124201304,8,2,4,1,3,7,5,9,11,12,10,6
0.0509601124201304,8,2,4,1,3,7,5,12,11,9,6,10
0.0509601124201304,8,2,4,1,3,7,5,12,11,9,10,6
0.0509601124201304,8,2,4,1,3,7,5,12,11,10,9,6
0.0509601124201304,8,2,4,1,6,9,11,7,5,3,10,12
0.0509601124201304,8,2,4,1,6,9,11,7,5,3,12,10
0.0509601124201304,8,2,4,1,6,9,11,7,5,10,3,12
0.0509601124201304,8,2,4,1,6,9,11,7,5,10,12,3
0.0509601124201304,8,2,4,1,6,9,11,7,5,12,3,10
0.0509601124201304,8,2,4,1,6,9,11,7,5,12,10,3
0.0509601124201304,8,2,4,1,9,6,11,7,5,3,10,12
0.0509601124201304,8,2,4,1,9,6,11,7,5,3,12,10
0.0509601124201304,8,2,4,1,9,6,11,7,5,10,3,12
0.0509601124201304,8,2,4,1,9,6,11,7,5,10,12,3
0.0509601124201304,8,2,4,1,9,6,11,7,5,12,3,10
0.0509601124201304,8,2,4,1,9,6,11,7,5,12,10,3
0.0509601124201304,8,2,4,1,9,7,10,11,5,3,6,12
0.0509601124201304,8,2,4,1,9,7,10,11,5,3,12,6
0.0509601124201304,8,2,4,1,9,7,10,11,5,6,3,12
0.0509601124201304,8,2,4,1,9,7,10,11,5,6,12,3
0.0509601124201304,8,2,4,1,9,7,10,11,5,12,3,6
0.0509601124201304,8,2,4,1,9,7,10,11,5,12,6,3
0.0509601124201304,8,2,4,1,9,7,11,6,5,3,10,12
0.0509601124201304,8,2,4,1,9,7,11,6,5,3,12,10
0.0509601124201304,8,2,4,1,9,7,11,6,5,10,3,12
0.0509601124201304,8,2,4,1,9,7,11,6,5,10,12,3
0.0509601124201304,8,2,4,1,9,7,11,6,5,12,3,10
0.0509601124201304,8,2,4,1,9,7,11,6,5,12,10,3
0.0509601124201304,8,2,4,1,9,7,11,10,5,3,6,12
0.0509601124201304,8,2,4,1,9,7,11,10,5,3,12,6
0.0509601124201304,8,2,4,1,9,7,11,10,5,6,3,12
0.0509601124201304,8,2,4,1,9,7,11,10,5,6,12,3
0.0509601124201304,8,2,4,1,9,7,11,10,5,12,3,6
0.0509601124201304,8,2,4,1,9,7,11,10,5,12,6,3
0.0509601124201304,8,2,4,1,9,10,7,11,5,3,6,12
0.0509601124201304,8,2,4,1,9,10,7,11,5,3,12,6
0.0509601124201304,8,2,4,1,9,10,7,11,5,6,3,12
0.0509601124201304,8,2,4,1,9,10,7,11,5,6,12,3
0.0509601124201304,8,2,4,1,9,10,7,11,5,12,3,6
0.0509601124201304,8,2,4,1,9,10,7,11,5,12,6,3
0.0509601124201304,8,2,4,1,9,10,11,7,5,3,6,12
0.0509601124201304,8,2,4,1,9,10,11,7,5,3,12,6
0.0509601124201304,8,2,4,1,9,10,11,7,5,6,3,12
0.0509601124201304,8,2,4,1,9,10,11,7,5,6,12,3
0.0509601124201304,8,2,4,1,9,10,11,7,5,12,3,6
0.0509601124201304,8,2,4,1,9,10,11,7,5,12,6,3
0.0509601124201304,8,2,4,1,9,11,6,7,5,3,10,12
0.0509601124201304,8,2,4,1,9,11,6,7,5,3,12,10
0.0509601124201304,8,2,4,1,9,11,6,7,5,10,3,12
0.0509601124201304,8,2,4,1,9,11,6,7,5,10,12,3
0.0509601124201304,8,2,4,1,9,11,6,7,5,12,3,10
0.0509601124201304,8,2,4,1,9,11,6,7,5,12,10,3
0.0509601124201304,8,2,4,1,9,11,10,7,5,3,6,12
0.0509601124201304,8,2,4,1,9,11,10,7,5,3,12,6
0.0509601124201304,8,2,4,1,9,11,10,7,5,6,3,12
0.0509601124201304,8,2,4,1,9,11,10,7,5,6,12,3
0.0509601124201304,8,2,4,1,9,11,10,7,5,12,3,6
0.0509601124201304,8,2,4,1,9,11,10,7,5,12,6,3
0.0509601124201304,8,2,4,1,10,9,7,11,5,3,6,12
0.0509601124201304,8,2,4,1,10,9,7,11,5,3,12,6
0.0509601124201304,8,2,4,1,10,9,7,11,5,6,3,12
0.0509601124201304,8,2,4,1,10,9,7,11,5,6,12,3
0.0509601124201304,8,2,4,1,10,9,7,11,5,12,3,6
0.0509601124201304,8,2,4,1,10,9,7,11,5,12,6,3
0.0509601124201304,8,2,4,1,10,9,11,7,5,3,6,12
0.0509601124201304,8,2,4,1,10,9,11,7,5,3,12,6
0.0509601124201304,8,2,4,1,10,9,11,7,5,6,3,12
0.0509601124201304,8,2,4,1,10,9,11,7,5,6,12,3
0.0509601124201304,8,2,4,1,10,9,11,7,5,12,3,6
0.0509601124201304,8,2,4,1,10,9,11,7,5,12,6,3
0.0508850330623328,8,2,4,1,10,11,6,5,3,9,7,12
0.0508850330623328,8,2,4,1,10,11,6,5,3,9,12,7
0.0508850330623328,8,2,4,1,10,11,6,5,3,12,7,9
0.0508850330623328,8,2,4,1,10,11,6,5,3,12,9,7
0.0508850330623328,8,2,4,1,10,11,6,5,9,3,7,12
0.0508850330623328,8,2,4,1,10,11,6,5,9,3,12,7
0.0508850330623328,8,2,4,1,10,11,6,5,9,7,3,12
0.0508850330623328,8,2,4,1,10,11,6,5,9,7,12,3
0.0508850330623328,8,2,4,1,10,11,6,5,9,12,3,7
0.0508850330623328,8,2,4,1,10,11,6,5,9,12,7,3
0.0508850330623328,8,2,4,1,10,11,6,5,12,3,7,9
0.0508850330623328,8,2,4,1,10,11,6,5,12,3,9,7
0.0508850330623328,8,2,4,1,10,11,6,5,12,7,3,9
0.0508850330623328,8,2,4,1,10,11,6,5,12,7,9,3
0.0508850330623328,8,2,4,1,10,11,6,5,12,9,3,7
0.0508850330623328,8,2,4,1,10,11,6,5,12,9,7,3
0.0509601124201304,8,2,4,1,10,11,9,7,5,3,6,12
0.0509601124201304,8,2,4,1,10,11,9,7,5,3,12,6
0.0509601124201304,8,2,4,1,10,11,9,7,5,6,3,12
0.0509601124201304,8,2,4,1,10,11,9,7,5,6,12,3
0.0509601124201304,8,2,4,1,10,11,9,7,5,12,3,6
0.0509601124201304,8,2,4,1,10,11,9,7,5,12,6,3
0.0509601124201304,8,2,4,1,11,6,9,7,5,3,10,12
0.0509601124201304,8,2,4,1,11,6,9,7,5,3,12,10
0.0509601124201304,8,2,4,1,11,6,9,7,5,10,3,12
0.0509601124201304,8,2,4,1,11,6,9,7,5,10,12,3
0.0509601124201304,8,2,4,1,11,6,9,7,5,12,3,10
0.0509601124201304,8,2,4,1,11,6,9,7,5,12,10,3
0.0508850330623328,8,2,4,1,11,6,10,5,3,9,7,12
0.0508850330623328,8,2,4,1,11,6,10,5,3,9,12,7
0.0508850330623328,8,2,4,1,11,6,10,5,3,12,7,9
0.0508850330623328,8,2,4,1,11,6,10,5,3,12,9,7
0.0508850330623328,8,2,4,1,11,6,10,5,9,3,7,12
0.0508850330623328,8,2,4,1,11,6,10,5,9,3,12,7
0.0508850330623328,8,2,4,1,11,6,10,5,9,7,3,12
0.0508850330623328,8,2,4,1,11,6,10,5,9,7,12,3
0.0508850330623328,8,2,4,1,11,6,10,5,9,12,3,7
0.0508850330623328,8,2,4,1,11,6,10,5,9,12,7,3
